Year,source,energy_type,total_btu,full_source,highlight_col,name_lab
1966,Transportation,Geothermal,24808.716,"Geothermal, Transportation",other,NA
1966,Transportation,Hydroelectric,97385.784,"Hydroelectric, Transportation",other,NA
1966,Transportation,Solar,24755.850000000002,"Solar, Transportation",other,NA
1966,Transportation,Wind,33007.8,"Wind, Transportation",other,NA
1967,Commercial,Geothermal,28159.968,"Geothermal, Commercial",other,NA
1967,Commercial,Hydroelectric,39.599999999999994,"Hydroelectric, Commercial",other,NA
1967,Commercial,Solar,28189.667999999998,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1967,Commercial,Wind,37586.224,"Wind, Commercial",other,NA
1967,Industrial,Geothermal,28159.968,"Geothermal, Industrial",other,NA
1967,Industrial,Hydroelectric,1757.376,"Hydroelectric, Industrial",other,NA
1967,Industrial,Solar,28189.667999999998,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1967,Industrial,Wind,37586.224,"Wind, Industrial",other,NA
1967,Residential,Geothermal,28159.968,"Geothermal, Residential",other,NA
1967,Residential,Solar,28189.667999999998,"Solar, Residential","Solar, Residential","Solar, Residential"
1967,Transportation,Geothermal,28278.768,"Geothermal, Transportation",other,NA
1967,Transportation,Hydroelectric,110961.696,"Hydroelectric, Transportation",other,NA
1967,Transportation,Solar,28189.667999999998,"Solar, Transportation",other,NA
1967,Transportation,Wind,37586.224,"Wind, Transportation",other,NA
1968,Commercial,Geothermal,28183.548,"Geothermal, Commercial",other,NA
1968,Commercial,Hydroelectric,54.384,"Hydroelectric, Commercial",other,NA
1968,Commercial,Solar,28224.336,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1968,Commercial,Wind,37632.448,"Wind, Commercial",other,NA
1968,Industrial,Geothermal,28183.548,"Geothermal, Industrial",other,NA
1968,Industrial,Hydroelectric,1742.6399999999999,"Hydroelectric, Industrial",other,NA
1968,Industrial,Solar,28224.336,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1968,Industrial,Wind,37632.448,"Wind, Industrial",other,NA
1968,Residential,Geothermal,28183.548,"Geothermal, Residential",other,NA
1968,Residential,Solar,28224.336,"Solar, Residential","Solar, Residential","Solar, Residential"
1968,Transportation,Geothermal,28346.699999999997,"Geothermal, Transportation",other,NA
1968,Transportation,Hydroelectric,111100.31999999999,"Hydroelectric, Transportation",other,NA
1968,Transportation,Solar,28224.336,"Solar, Transportation",other,NA
1968,Transportation,Wind,37632.448,"Wind, Transportation",other,NA
1969,Commercial,Geothermal,31775.796,"Geothermal, Commercial",other,NA
1969,Commercial,Hydroelectric,77.064,"Hydroelectric, Commercial",other,NA
1969,Commercial,Solar,31833.593999999997,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1969,Commercial,Wind,42444.792,"Wind, Commercial",other,NA
1969,Industrial,Geothermal,31775.796,"Geothermal, Industrial",other,NA
1969,Industrial,Hydroelectric,1719.624,"Hydroelectric, Industrial",other,NA
1969,Industrial,Solar,31833.593999999997,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1969,Industrial,Wind,42444.792,"Wind, Industrial",other,NA
1969,Residential,Geothermal,31775.796,"Geothermal, Residential",other,NA
1969,Residential,Solar,31833.593999999997,"Solar, Residential","Solar, Residential","Solar, Residential"
1969,Transportation,Geothermal,32006.987999999998,"Geothermal, Transportation",other,NA
1969,Transportation,Hydroelectric,125537.688,"Hydroelectric, Transportation",other,NA
1969,Transportation,Solar,31833.593999999997,"Solar, Transportation",other,NA
1969,Transportation,Wind,42444.792,"Wind, Transportation",other,NA
1970,Commercial,Geothermal,31602.564000000002,"Geothermal, Commercial",other,NA
1970,Commercial,Hydroelectric,66.132,"Hydroelectric, Commercial",other,NA
1970,Commercial,Solar,31652.163,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1970,Commercial,Wind,42202.884,"Wind, Commercial",other,NA
1970,Industrial,Geothermal,31602.564000000002,"Geothermal, Industrial",other,NA
1970,Industrial,Hydroelectric,1700.052,"Hydroelectric, Industrial",other,NA
1970,Industrial,Solar,31652.163,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1970,Industrial,Wind,42202.884,"Wind, Industrial",other,NA
1970,Residential,Geothermal,31602.564000000002,"Geothermal, Residential",other,NA
1970,Residential,Solar,31652.163,"Solar, Residential","Solar, Residential","Solar, Residential"
1970,Transportation,Geothermal,31800.96,"Geothermal, Transportation",other,NA
1970,Transportation,Hydroelectric,124842.46800000001,"Hydroelectric, Transportation",other,NA
1970,Transportation,Solar,31652.163,"Solar, Transportation",other,NA
1970,Transportation,Wind,42202.884,"Wind, Transportation",other,NA
1971,Commercial,Geothermal,33889.812000000005,"Geothermal, Commercial",other,NA
1971,Commercial,Hydroelectric,68.868,"Hydroelectric, Commercial",other,NA
1971,Commercial,Solar,33941.463,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1971,Commercial,Wind,45255.284,"Wind, Commercial",other,NA
1971,Industrial,Geothermal,33889.812000000005,"Geothermal, Industrial",other,NA
1971,Industrial,Hydroelectric,1688.6760000000002,"Hydroelectric, Industrial",other,NA
1971,Industrial,Solar,33941.463,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1971,Industrial,Wind,45255.284,"Wind, Industrial",other,NA
1971,Residential,Geothermal,33889.812000000005,"Geothermal, Residential",other,NA
1971,Residential,Solar,33941.463,"Solar, Residential","Solar, Residential","Solar, Residential"
1971,Transportation,Geothermal,34096.416000000005,"Geothermal, Transportation",other,NA
1971,Transportation,Hydroelectric,134008.30800000002,"Hydroelectric, Transportation",other,NA
1971,Transportation,Solar,33941.463,"Solar, Transportation",other,NA
1971,Transportation,Wind,45255.284,"Wind, Transportation",other,NA
1972,Commercial,Geothermal,34366.380000000005,"Geothermal, Commercial",other,NA
1972,Commercial,Hydroelectric,180.948,"Hydroelectric, Commercial",other,NA
1972,Commercial,Solar,34502.091,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1972,Commercial,Wind,46002.788,"Wind, Commercial",other,NA
1972,Industrial,Geothermal,34366.380000000005,"Geothermal, Industrial",other,NA
1972,Industrial,Hydroelectric,1833.1080000000002,"Hydroelectric, Industrial",other,NA
1972,Industrial,Solar,34502.091,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1972,Industrial,Wind,46002.788,"Wind, Industrial",other,NA
1972,Residential,Geothermal,34366.380000000005,"Geothermal, Residential",other,NA
1972,Residential,Solar,34502.091,"Solar, Residential","Solar, Residential","Solar, Residential"
1972,Transportation,Geothermal,34909.224,"Geothermal, Transportation",other,NA
1972,Transportation,Hydroelectric,135994.30800000002,"Hydroelectric, Transportation",other,NA
1972,Transportation,Solar,34502.091,"Solar, Transportation",other,NA
1972,Transportation,Wind,46002.788,"Wind, Transportation",other,NA
1973,Commercial,Geothermal,34337.376000000004,"Geothermal, Commercial",other,NA
1973,Commercial,Hydroelectric,245.06400000000002,"Hydroelectric, Commercial",other,NA
1973,Commercial,Solar,34521.174,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1973,Commercial,Wind,46028.232,"Wind, Commercial",other,NA
1973,Industrial,Geothermal,34337.376000000004,"Geothermal, Industrial",other,NA
1973,Industrial,Hydroelectric,1914.1680000000001,"Hydroelectric, Industrial",other,NA
1973,Industrial,Solar,34521.174,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1973,Industrial,Wind,46028.232,"Wind, Industrial",other,NA
1973,Residential,Geothermal,34337.376000000004,"Geothermal, Residential",other,NA
1973,Residential,Solar,34521.174,"Solar, Residential","Solar, Residential","Solar, Residential"
1973,Transportation,Geothermal,35072.568,"Geothermal, Transportation",other,NA
1973,Transportation,Hydroelectric,135925.464,"Hydroelectric, Transportation",other,NA
1973,Transportation,Solar,34521.174,"Solar, Transportation",other,NA
1973,Transportation,Wind,46028.232,"Wind, Transportation",other,NA
1974,Commercial,Geothermal,38118.96,"Geothermal, Commercial",other,NA
1974,Commercial,Hydroelectric,307.32,"Hydroelectric, Commercial",other,NA
1974,Commercial,Solar,38349.450000000004,"Solar, Commercial","Solar, Commercial","Solar, Commercial"
1974,Commercial,Wind,51132.600000000006,"Wind, Commercial",other,NA
1974,Industrial,Geothermal,38118.96,"Geothermal, Industrial",other,NA
1974,Industrial,Hydroelectric,1901.0159999999998,"Hydroelectric, Industrial",other,NA
1974,Industrial,Solar,38349.450000000004,"Solar, Industrial","Solar, Industrial","Solar, Industrial"
1974,Industrial,Wind,51132.600000000006,"Wind, Industrial",other,NA
1974,Residential,Geothermal,38118.96,"Geothermal, Residential",other,NA
1974,Residential,Solar,38349.450000000004,"Solar, Residential","Solar, Residential","Solar, Residential"
1974,Transportation,Geothermal,39040.92,"Geothermal, Transportation",other,NA
1974,Transportation,Hydroelectric,151189.464,"Hydroelectric, Transportation",other,NA
1974,Transportation,Solar,38349.450000000004,"Solar, Transportation",other,NA
